Date,Arena,Home_Team,Visitor_Team,player_name,player_id,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Grant Williams,willigr01,14.583333333333334,1,5,.200,1,4,.250,0,0,,0,1,1,1,1,0,1,2,3,-19
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Payton Pritchard,pritcpa01,13.0,1,4,.250,1,2,.500,0,0,,0,1,1,0,1,0,0,1,3,-2
"Wed, Dec 23, 2020",TD Garden,Boston Celtics,Milwaukee Bucks,Robert Williams,williro04,12.466666666666667,2,2,1.000,0,0,,0,0,,3,1,4,0,0,1,1,1,4,-5
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Trae Young,youngtr01,25.95,10,12,.833,5,6,.833,12,14,.857,2,4,6,7,0,0,4,1,37,30
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,De'Andre Hunter,huntede01,25.9,5,6,.833,1,1,1.000,0,0,,0,3,3,1,0,0,2,3,11,40
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Danilo Gallinari,gallida01,24.433333333333334,4,6,.667,1,2,.500,4,4,1.000,0,4,4,3,0,0,3,2,13,31
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Cam Reddish,reddica01,23.766666666666666,6,11,.545,1,3,.333,2,2,1.000,1,5,6,0,2,0,1,3,15,27
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,John Collins,collijo01,18.05,6,10,.600,0,2,.000,2,2,1.000,0,4,4,2,0,2,0,4,14,21
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Solomon Hill,hillso01,28.4,0,3,.000,0,3,.000,0,0,,0,3,3,0,0,1,3,2,0,-8
"Wed, Dec 23, 2020",United Center,Chicago Bulls,Atlanta Hawks,Kevin Huerter,huertke01,27.05,4,10,.400,2,6,.333,1,2,.500,0,2,2,4,1,0,0,2,11,0
